name,sector,main_competitors,cap_musd,funds_musd,ranking_score
Cerebras,"Hardware, GPU","Nvidia, AMD, Intel, Google Cloud, Microsoft(Azure), Google Cloud, CoreWeave",18000.0,8500.0,18000.0
Helsing,"Public Sector, Manufacturing & Operations, Defence","Anduril, Palantir, Harmattan AI",18000.0,1800.0,18000.0
Dynatrace,Saas,"Datadog , Splunk ,New Relic, Elastic, Cisco",16480.0,,16480.0
Langfuse,AI model,"LangSmith.Arize Phoenix ,Trulens,WandB Prompts (Weights & Biases) , MLflow",15000.0,400.0,15000.0
Nscale,"Cloud Provider, neocloud","CoreWeave, Lambda Labs (Lambda), Crusoe, Hyperstack , Scaleway,  OVHcloud, Nebius Group (Nebius), RunPod ,Spheron",14600.0,3700.0,14600.0
Aurora Innovation,"R&D, ICT","KodiakRobotics, Waabi, Stack AV, Torc Robotics, Gatik, Einride, Waymo, Wayve, Nuro",12370.0,,12370.0
Celonis,"Manufacturing & Operations, Professional Services","SAP(Signavio), Microsoft( Power Automate), UiPath, IBM (Process Mining), Software AG(ARIS), Appian, ServiceNow, Durable Capital Partners",12000.0,1770.0,12000.0
Mistral AI,"AI model, ICT","OpenAI, Cohere, Anthropic, DeepMind, Meta, Aleph Alpha, H company, Poolside, DeepL, Helsing, Black Forest Labs",11700.0,3200.0,11700.0
Harvey,"Professional Services, Legal tech","CoCounsel(Thomson Reuters), Lexis+ AI / Protégé(LexisNexis), Legora, LegalFly, Spellbook, Robin AI, Luminance",11000.0,1200.0,11000.0
Physical Intelligence,"AI model, Robotics","Skild AI, Nvidia, Deepmind, Rhoda AI, Covariant, Field AI, Figure AI, Tesla, 1X technologies, Apptronik",11000.0,2000.0,11000.0
MiniMax,"AI model, Image generation","Kuaishou, OpenAI, Runway, Deepseek, Moonshot AI, Zhipu AI, ElevenLabs, Character.ai",10300.0,1500.0,10300.0
"Midjourney, Inc.","AI model, Computer Vision","openAI(DAall-e), Stabilitye AI, Ideogram, Flux, Adobe(firefly)",10000.0,0.0,10000.0
1X Technologies,Robotics,"Tesla(Optimus), Figure AI, Agility Robotics, Boston Dynamics, Apptronik ,",10000.0,140.0,10000.0
Cognition,ICT,"Anysphere(Cursor), Anthropic(Claude), Githbub(Copilot), Openhands",10000.0,,10000.0
Crusoe,ICT,"CoreWeave, Lambda Labs, RunPod,Nebius Group, Together AI , Fermi Inc. ,Talen Energy , Constellation Energy , Deep Green , Digital Realty, Equinix",10000.0,2770.0,10000.0
Cognex,"Computer Vision, AI model","Keyence , SICK AG, Omron, Basler, Teledyne",9600.0,,9600.0
Wayve,ICT,"Waymo, Tesla, Zoox, Cruise, Mobileye, Bosch, Pony.AI",8600.0,2500.0,8600.0
Tempus AI,Biotech,"Guardant Health, Natera, Roche (Flatiron Health )",8490.0,1760.0,8490.0
SentinelOne,Cybersécurité,"CrowdStrike Falcon, Microsoft(Defender),Cortex XDR,Sophos Endpoint ,Vision One",7120.0,,7120.0
Groq,"AI model, Inference","Cerebras, Sambanova, Tenstorrent, Nvidia, Google Cloud, AWS, SiliconFlow,Fireworks AI,",6900.0,1500.0,6900.0
Mobileye,"Computer Vision, Transport & Mobility, Hardware","Nvidia, Qualcomm, Tesla, Waymo",6700.0,,6700.0
UiPath,"Manufacturing & Operations, Professional Services, ICT","Automation Anywhere, SS&C Blue Prism, Microsoft( Power Automate), SAP, Zapier, Workato, Make, N8n",6430.0,1960.0,6430.0
ContentSquare,Sales & Marketing,"Glassbox, Fullstoryn, Quantum metric, Amplitude, Mixpanel, pendo, Azure(Microsoft Clarity)",5600.0,1400.0,5600.0
Presight AI,"Energy & Utilities, Financial Services, Smart city","IBM, Palantir, HPE, Splunk, Elastic , Space42",5520.0,,5520.0
Suno AI,"AI model, Music","Udio, Minimax, ElevenLabs, Saunoto, Mureka, AIVA, Beatoven.ai",5400.0,775.0,5400.0
Abridge,"Health & Social Care, AI model","Microsoft(Nuance DAX Copilot), Ambience Healthcare, DeepScribe, Nabla, Freed",5300.0,800.0,5300.0
Ineffable Intelligence,"AI model, R&D","DeepMind, Recursive Superintelligence, AMI Labs",5100.0,1100.0,5100.0
World Labs,AI model,"AMI Labs, DeepMind, Odyssey",5000.0,1230.0,5000.0
Hugging Face,"Hardware, ICT","Microsoft(Github Models), Replicate, TogetherAI, Fireworks AI, civitai, Kaggle",4500.0,400.0,4500.0
Fermi Inc.,"Cloud Provider, Energy","Digital Realty Trust , Equinix, Constellation Energy",4240.0,,4240.0
Synthesia,"AI model, Computer vision","HeyGen, OpenAI(Sora), Runway(Gen-2 / Gen-3), Hour One, Colossyan",4000.0,536.0,4000.0
