company_1,company_2,similarity,distance
Wayve,AMI - Advanced Machine Intelligence,0.43613002,0.56386995
OpenAI,Comand AI,0.43595228,0.5640477
5C,Lightspeed,0.43585643,0.56414354
2CRSI,Cognism,0.43568185,0.5643182
1X Technologies,BuildOps,0.43554524,0.5644548
Groq,Ant Group,0.4353585,0.5646415
Hugging Face,BuildOps,0.43518782,0.5648122
Synthesia,Hugging Face,0.4351767,0.56482327
1X Technologies,2CRSI,0.43505144,0.56494856
BenevolentAI,Aqemia,0.4349094,0.5650906
Scale AI,BenevolentAI,0.4346687,0.56533134
Mistral AI,Owkin,0.434503,0.56549704
Alibaba,Hugging Face,0.4343235,0.5656765
Physical Intelligence,Lightspeed,0.4341604,0.5658396
5C,Nabla,0.43414545,0.56585455
Wayve,Einride,0.4334758,0.5665242
OpenAI,Applied Intuition,0.43329674,0.56670326
Anthropic,Ant Group,0.43309125,0.5669087
Scale AI,Aqemia,0.43287885,0.56712115
Wayve,Lightspeed,0.43286264,0.56713736
Black Forest Labs,Comand AI,0.43252096,0.567479
MiniMax,Black Forest AI GmbH,0.4323773,0.56762266
Mistral AI,Oracle,0.4323684,0.5676316
Physical Intelligence,Perplexity,0.4323136,0.56768644
AMD,Hailo Technologies,0.43206057,0.5679394
ByteDance,Anthropic,0.43205112,0.5679489
MiniMax,Appen,0.43197507,0.56802493
Groq,Aleph Alpha,0.43115875,0.5688412
Nscale,ManoMano,0.43114063,0.56885934
UiPath,Ant Group,0.4311322,0.5688678
Wayve,Groq,0.43106973,0.56893027
Mistral AI,Groq,0.43090934,0.56909066
5C,Black Forest AI GmbH,0.43086404,0.56913596
Cerebras,World Labs,0.4306024,0.56939757
Perplexity,Lightspeed,0.43042257,0.56957746
OpenAI,H Company,0.4303037,0.5696963
AMI - Advanced Machine Intelligence,2CRSI,0.4302545,0.56974554
Nscale,ARM Holdings,0.42988282,0.5701172
Sidetrade,Comand AI,0.42963904,0.57036096
Nscale,Multiverse Computing,0.42955053,0.5704495
Synthesia,Black Forest Labs,0.42946967,0.5705303
1X Technologies,Appen,0.42925316,0.57074684
Mistral AI,DeepL,0.42921788,0.5707821
Perplexity,ManoMano,0.42921603,0.570784
Alibaba,Appen,0.42883992,0.5711601
Hugging Face,H Company,0.4288211,0.5711789
AMD,Sakana AI,0.4286398,0.57136023
5C,Tessl,0.42855543,0.5714446
Shift Technology,RobCo GmbH,0.42843488,0.57156515
